
01.02armB  <  (87,251) (87,252) (88,252) (88,251) > 
08.09armB  <  (696,1301) (696,1302) (697,1302) (697,1301) > 
08.11armB  <  (696,1601) (696,1602) (697,1602) (697,1601) > 
08.13armB  <  (696,1901) (696,1902) (697,1902) (697,1901) > 
08.15armB  <  (696,2201) (696,2202) (697,2202) (697,2201) > 
08.17armB  <  (696,2501) (696,2502) (697,2502) (697,2501) > 
08.19armB  <  (696,2801) (696,2802) (697,2802) (697,2801) > 
08.21armB  <  (696,3101) (696,3102) (697,3102) (697,3101) > 
08.23armB  <  (696,3401) (696,3402) (697,3402) (697,3401) > 
08.25armB  <  (696,3701) (696,3702) (697,3702) (697,3701) > 
09.02armB  <  (783,251) (783,252) (784,252) (784,251) > 
09.04armB  <  (783,551) (783,552) (784,552) (784,551) > 
09.06armB  <  (783,851) (783,852) (784,852) (784,851) > 
09.08armB  <  (783,1151) (783,1152) (784,1152) (784,1151) > 
09.10armB  <  (783,1451) (783,1452) (784,1452) (784,1451) > 
09.12armB  <  (783,1751) (783,1752) (784,1752) (784,1751) > 
09.14armB  <  (783,2051) (783,2052) (784,2052) (784,2051) > 
09.16armB  <  (783,2351) (783,2352) (784,2352) (784,2351) > 
09.18armB  <  (783,2651) (783,2652) (784,2652) (784,2651) > 
09.20armB  <  (783,2951) (783,2952) (784,2952) (784,2951) > 
09.22armB  <  (783,3251) (783,3252) (784,3252) (784,3251) > 
09.24armB  <  (783,3551) (783,3552) (784,3552) (784,3551) > 
09.26armB  <  (783,3851) (783,3852) (784,3852) (784,3851) > 
10.01armB  <  (870,101) (870,102) (871,102) (871,101) > 
10.03armB  <  (870,401) (870,402) (871,402) (871,401) > 
10.05armB  <  (870,701) (870,702) (871,702) (871,701) > 
10.07armB  <  (870,1001) (870,1002) (871,1002) (871,1001) > 
10.09armB  <  (870,1301) (870,1302) (871,1302) (871,1301) > 
10.11armB  <  (870,1601) (870,1602) (871,1602) (871,1601) > 
10.13armB  <  (870,1901) (870,1902) (871,1902) (871,1901) > 
10.15armB  <  (870,2201) (870,2202) (871,2202) (871,2201) > 
10.17armB  <  (870,2501) (870,2502) (871,2502) (871,2501) > 
10.19armB  <  (870,2801) (870,2802) (871,2802) (871,2801) > 
10.21armB  <  (870,3101) (870,3102) (871,3102) (871,3101) > 
10.23armB  <  (870,3401) (870,3402) (871,3402) (871,3401) > 
10.25armB  <  (870,3701) (870,3702) (871,3702) (871,3701) > 
10.27armB  <  (870,4001) (870,4002) (871,4002) (871,4001) > 
11.02armB  <  (957,251) (957,252) (958,252) (958,251) > 
11.04armB  <  (957,551) (957,552) (958,552) (958,551) > 
11.06armB  <  (957,851) (957,852) (958,852) (958,851) > 
11.08armB  <  (957,1151) (957,1152) (958,1152) (958,1151) > 
11.10armB  <  (957,1451) (957,1452) (958,1452) (958,1451) > 
11.12armB  <  (957,1751) (957,1752) (958,1752) (958,1751) > 
11.14armB  <  (957,2051) (957,2052) (958,2052) (958,2051) > 
11.16armB  <  (957,2351) (957,2352) (958,2352) (958,2351) > 
11.18armB  <  (957,2651) (957,2652) (958,2652) (958,2651) > 
11.20armB  <  (957,2951) (957,2952) (958,2952) (958,2951) > 
11.22armB  <  (957,3251) (957,3252) (958,3252) (958,3251) > 
11.24armB  <  (957,3551) (957,3552) (958,3552) (958,3551) > 
11.26armB  <  (957,3851) (957,3852) (958,3852) (958,3851) > 
11.28armB  <  (976,4141) (976,4142) (977,4142) (977,4141) > 
11.32armB  <  (919,4733) (919,4734) (920,4734) (920,4733) > 
12.01armB  <  (1044,101) (1044,102) (1045,102) (1045,101) > 
12.03armB  <  (1044,401) (1044,402) (1045,402) (1045,401) > 
12.05armB  <  (1044,701) (1044,702) (1045,702) (1045,701) > 
12.07armB  <  (1044,1001) (1044,1002) (1045,1002) (1045,1001) > 
12.09armB  <  (1044,1301) (1044,1302) (1045,1302) (1045,1301) > 
12.11armB  <  (1044,1601) (1044,1602) (1045,1602) (1045,1601) > 
12.13armB  <  (1044,1901) (1044,1902) (1045,1902) (1045,1901) > 
12.15armB  <  (1044,2201) (1044,2202) (1045,2202) (1045,2201) > 
12.17armB  <  (1044,2501) (1044,2502) (1045,2502) (1045,2501) > 
12.19armB  <  (1044,2801) (1044,2802) (1045,2802) (1045,2801) > 
12.21armB  <  (1044,3101) (1044,3102) (1045,3102) (1045,3101) > 
12.23armB  <  (1044,3401) (1044,3402) (1045,3402) (1045,3401) > 
12.25armB  <  (1044,3701) (1044,3702) (1045,3702) (1045,3701) > 
12.27armB  <  (1044,4001) (1044,4002) (1045,4002) (1045,4001) > 
12.29armB  <  (1063,4279) (1063,4280) (1064,4280) (1064,4279) > 
13.02armB  <  (1131,251) (1131,252) (1132,252) (1132,251) > 
13.04armB  <  (1131,551) (1131,552) (1132,552) (1132,551) > 
13.06armB  <  (1131,851) (1131,852) (1132,852) (1132,851) > 
13.08armB  <  (1131,1151) (1131,1152) (1132,1152) (1132,1151) > 
13.10armB  <  (1131,1451) (1131,1452) (1132,1452) (1132,1451) > 
13.12armB  <  (1131,1751) (1131,1752) (1132,1752) (1132,1751) > 
13.14armB  <  (1131,2051) (1131,2052) (1132,2052) (1132,2051) > 
13.16armB  <  (1131,2351) (1131,2352) (1132,2352) (1132,2351) > 
13.18armB  <  (1131,2651) (1131,2652) (1132,2652) (1132,2651) > 
13.20armB  <  (1131,2951) (1131,2952) (1132,2952) (1132,2951) > 
13.22armB  <  (1131,3251) (1131,3252) (1132,3252) (1132,3251) > 
13.24armB  <  (1131,3551) (1131,3552) (1132,3552) (1132,3551) > 
13.26armB  <  (1131,3851) (1131,3852) (1132,3852) (1132,3851) > 
13.28armB  <  (1131,4151) (1131,4152) (1132,4152) (1132,4151) > 
13.30armB  <  (1131,4451) (1131,4452) (1132,4452) (1132,4451) > 
13.32armB  <  (1115,4791) (1115,4792) (1116,4792) (1116,4791) > 
14.01armB  <  (1218,101) (1218,102) (1219,102) (1219,101) > 
14.03armB  <  (1218,401) (1218,402) (1219,402) (1219,401) > 
14.05armB  <  (1218,701) (1218,702) (1219,702) (1219,701) > 
14.07armB  <  (1218,1001) (1218,1002) (1219,1002) (1219,1001) > 
14.09armB  <  (1218,1301) (1218,1302) (1219,1302) (1219,1301) > 
14.11armB  <  (1218,1601) (1218,1602) (1219,1602) (1219,1601) > 
14.13armB  <  (1218,1901) (1218,1902) (1219,1902) (1219,1901) > 
14.15armB  <  (1218,2201) (1218,2202) (1219,2202) (1219,2201) > 
14.17armB  <  (1218,2501) (1218,2502) (1219,2502) (1219,2501) > 
14.19armB  <  (1218,2801) (1218,2802) (1219,2802) (1219,2801) > 
14.21armB  <  (1218,3101) (1218,3102) (1219,3102) (1219,3101) > 
14.23armB  <  (1218,3401) (1218,3402) (1219,3402) (1219,3401) > 
14.25armB  <  (1218,3701) (1218,3702) (1219,3702) (1219,3701) > 
14.27armB  <  (1218,4001) (1218,4002) (1219,4002) (1219,4001) > 
14.29armB  <  (1218,4301) (1218,4302) (1219,4302) (1219,4301) > 
14.31armB  <  (1218,4601) (1218,4602) (1219,4602) (1219,4601) > 
14.33armB  <  (1224,4873) (1224,4874) (1225,4874) (1225,4873) > 
15.02armB  <  (1305,251) (1305,252) (1306,252) (1306,251) > 
15.04armB  <  (1305,551) (1305,552) (1306,552) (1306,551) > 
15.06armB  <  (1305,851) (1305,852) (1306,852) (1306,851) > 
15.08armB  <  (1305,1151) (1305,1152) (1306,1152) (1306,1151) > 
15.10armB  <  (1305,1451) (1305,1452) (1306,1452) (1306,1451) > 
15.12armB  <  (1305,1751) (1305,1752) (1306,1752) (1306,1751) > 
15.14armB  <  (1305,2051) (1305,2052) (1306,2052) (1306,2051) > 
15.16armB  <  (1305,2351) (1305,2352) (1306,2352) (1306,2351) > 
15.18armB  <  (1305,2651) (1305,2652) (1306,2652) (1306,2651) > 
15.20armB  <  (1305,2951) (1305,2952) (1306,2952) (1306,2951) > 
15.22armB  <  (1305,3251) (1305,3252) (1306,3252) (1306,3251) > 
15.24armB  <  (1305,3551) (1305,3552) (1306,3552) (1306,3551) > 
15.26armB  <  (1305,3851) (1305,3852) (1306,3852) (1306,3851) > 
15.28armB  <  (1305,4151) (1305,4152) (1306,4152) (1306,4151) > 
15.30armB  <  (1305,4451) (1305,4452) (1306,4452) (1306,4451) > 
15.32armB  <  (1305,4751) (1305,4752) (1306,4752) (1306,4751) > 
15.34armB  <  (1322,5028) (1322,5029) (1323,5029) (1323,5028) > 
16.01armB  <  (1392,101) (1392,102) (1393,102) (1393,101) > 
16.03armB  <  (1392,401) (1392,402) (1393,402) (1393,401) > 
16.05armB  <  (1392,701) (1392,702) (1393,702) (1393,701) > 
16.07armB  <  (1392,1001) (1392,1002) (1393,1002) (1393,1001) > 
16.09armB  <  (1392,1301) (1392,1302) (1393,1302) (1393,1301) > 
16.11armB  <  (1392,1601) (1392,1602) (1393,1602) (1393,1601) > 
16.13armB  <  (1392,1901) (1392,1902) (1393,1902) (1393,1901) > 
16.15armB  <  (1392,2201) (1392,2202) (1393,2202) (1393,2201) > 
16.17armB  <  (1392,2501) (1392,2502) (1393,2502) (1393,2501) > 
16.19armB  <  (1392,2801) (1392,2802) (1393,2802) (1393,2801) > 
16.21armB  <  (1392,3101) (1392,3102) (1393,3102) (1393,3101) > 
16.23armB  <  (1392,3401) (1392,3402) (1393,3402) (1393,3401) > 
16.25armB  <  (1392,3701) (1392,3702) (1393,3702) (1393,3701) > 
16.27armB  <  (1392,4001) (1392,4002) (1393,4002) (1393,4001) > 
16.29armB  <  (1392,4301) (1392,4302) (1393,4302) (1393,4301) > 
16.31armB  <  (1392,4601) (1392,4602) (1393,4602) (1393,4601) > 
16.33armB  <  (1392,4901) (1392,4902) (1393,4902) (1393,4901) > 
17.02armB  <  (1479,251) (1479,252) (1480,252) (1480,251) > 
17.04armB  <  (1479,551) (1479,552) (1480,552) (1480,551) > 
17.06armB  <  (1479,851) (1479,852) (1480,852) (1480,851) > 
17.08armB  <  (1479,1151) (1479,1152) (1480,1152) (1480,1151) > 
17.10armB  <  (1479,1451) (1479,1452) (1480,1452) (1480,1451) > 
17.12armB  <  (1479,1751) (1479,1752) (1480,1752) (1480,1751) > 
17.14armB  <  (1479,2051) (1479,2052) (1480,2052) (1480,2051) > 
17.16armB  <  (1479,2351) (1479,2352) (1480,2352) (1480,2351) > 
17.18armB  <  (1479,2651) (1479,2652) (1480,2652) (1480,2651) > 
17.20armB  <  (1479,2951) (1479,2952) (1480,2952) (1480,2951) > 
17.22armB  <  (1479,3251) (1479,3252) (1480,3252) (1480,3251) > 
17.24armB  <  (1479,3551) (1479,3552) (1480,3552) (1480,3551) > 
17.26armB  <  (1479,3851) (1479,3852) (1480,3852) (1480,3851) > 
17.28armB  <  (1479,4151) (1479,4152) (1480,4152) (1480,4151) > 
17.30armB  <  (1479,4451) (1479,4452) (1480,4452) (1480,4451) > 
17.32armB  <  (1479,4751) (1479,4752) (1480,4752) (1480,4751) > 
17.34armB  <  (1479,5051) (1479,5052) (1480,5052) (1480,5051) > 
18.01armB  <  (1566,101) (1566,102) (1567,102) (1567,101) > 
18.03armB  <  (1566,401) (1566,402) (1567,402) (1567,401) > 
18.05armB  <  (1566,701) (1566,702) (1567,702) (1567,701) > 
18.07armB  <  (1566,1001) (1566,1002) (1567,1002) (1567,1001) > 
18.09armB  <  (1566,1301) (1566,1302) (1567,1302) (1567,1301) > 
18.11armB  <  (1566,1601) (1566,1602) (1567,1602) (1567,1601) > 
18.13armB  <  (1566,1901) (1566,1902) (1567,1902) (1567,1901) > 
18.15armB  <  (1566,2201) (1566,2202) (1567,2202) (1567,2201) > 
18.17armB  <  (1566,2501) (1566,2502) (1567,2502) (1567,2501) > 
18.19armB  <  (1566,2801) (1566,2802) (1567,2802) (1567,2801) > 
18.21armB  <  (1566,3101) (1566,3102) (1567,3102) (1567,3101) > 
18.23armB  <  (1566,3401) (1566,3402) (1567,3402) (1567,3401) > 
18.25armB  <  (1566,3701) (1566,3702) (1567,3702) (1567,3701) > 
18.27armB  <  (1566,4001) (1566,4002) (1567,4002) (1567,4001) > 
18.29armB  <  (1566,4301) (1566,4302) (1567,4302) (1567,4301) > 
18.31armB  <  (1566,4601) (1566,4602) (1567,4602) (1567,4601) > 
18.33armB  <  (1566,4901) (1566,4902) (1567,4902) (1567,4901) > 
19.02armB  <  (1653,251) (1653,252) (1654,252) (1654,251) > 
19.04armB  <  (1653,551) (1653,552) (1654,552) (1654,551) > 
19.06armB  <  (1653,851) (1653,852) (1654,852) (1654,851) > 
19.08armB  <  (1653,1151) (1653,1152) (1654,1152) (1654,1151) > 
19.10armB  <  (1653,1451) (1653,1452) (1654,1452) (1654,1451) > 
19.12armB  <  (1653,1751) (1653,1752) (1654,1752) (1654,1751) > 
19.14armB  <  (1653,2051) (1653,2052) (1654,2052) (1654,2051) > 
19.16armB  <  (1653,2351) (1653,2352) (1654,2352) (1654,2351) > 
19.18armB  <  (1653,2651) (1653,2652) (1654,2652) (1654,2651) > 
19.20armB  <  (1653,2951) (1653,2952) (1654,2952) (1654,2951) > 
19.22armB  <  (1653,3251) (1653,3252) (1654,3252) (1654,3251) > 
19.24armB  <  (1653,3551) (1653,3552) (1654,3552) (1654,3551) > 
19.26armB  <  (1653,3851) (1653,3852) (1654,3852) (1654,3851) > 
19.28armB  <  (1653,4151) (1653,4152) (1654,4152) (1654,4151) > 
19.30armB  <  (1653,4451) (1653,4452) (1654,4452) (1654,4451) > 
19.32armB  <  (1653,4751) (1653,4752) (1654,4752) (1654,4751) > 
19.34armB  <  (1653,5051) (1653,5052) (1654,5052) (1654,5051) > 
20.01armB  <  (1740,101) (1740,102) (1741,102) (1741,101) > 
20.03armB  <  (1740,401) (1740,402) (1741,402) (1741,401) > 
20.05armB  <  (1740,701) (1740,702) (1741,702) (1741,701) > 
20.07armB  <  (1740,1001) (1740,1002) (1741,1002) (1741,1001) > 
20.09armB  <  (1740,1301) (1740,1302) (1741,1302) (1741,1301) > 
20.11armB  <  (1740,1601) (1740,1602) (1741,1602) (1741,1601) > 
20.13armB  <  (1740,1901) (1740,1902) (1741,1902) (1741,1901) > 
20.15armB  <  (1740,2201) (1740,2202) (1741,2202) (1741,2201) > 
20.17armB  <  (1740,2501) (1740,2502) (1741,2502) (1741,2501) > 
20.19armB  <  (1740,2801) (1740,2802) (1741,2802) (1741,2801) > 
20.21armB  <  (1740,3101) (1740,3102) (1741,3102) (1741,3101) > 
20.23armB  <  (1740,3401) (1740,3402) (1741,3402) (1741,3401) > 
20.25armB  <  (1740,3701) (1740,3702) (1741,3702) (1741,3701) > 
20.27armB  <  (1740,4001) (1740,4002) (1741,4002) (1741,4001) > 
20.29armB  <  (1740,4301) (1740,4302) (1741,4302) (1741,4301) > 
20.31armB  <  (1740,4601) (1740,4602) (1741,4602) (1741,4601) > 
20.33armB  <  (1740,4901) (1740,4902) (1741,4902) (1741,4901) > 
21.02armB  <  (1827,251) (1827,252) (1828,252) (1828,251) > 
21.04armB  <  (1827,551) (1827,552) (1828,552) (1828,551) > 
21.06armB  <  (1827,851) (1827,852) (1828,852) (1828,851) > 
21.08armB  <  (1827,1151) (1827,1152) (1828,1152) (1828,1151) > 
21.10armB  <  (1827,1451) (1827,1452) (1828,1452) (1828,1451) > 
21.12armB  <  (1827,1751) (1827,1752) (1828,1752) (1828,1751) > 
21.14armB  <  (1827,2051) (1827,2052) (1828,2052) (1828,2051) > 
21.16armB  <  (1827,2351) (1827,2352) (1828,2352) (1828,2351) > 
21.18armB  <  (1827,2651) (1827,2652) (1828,2652) (1828,2651) > 
21.20armB  <  (1827,2951) (1827,2952) (1828,2952) (1828,2951) > 
21.22armB  <  (1827,3251) (1827,3252) (1828,3252) (1828,3251) > 
21.24armB  <  (1827,3551) (1827,3552) (1828,3552) (1828,3551) > 
21.26armB  <  (1827,3851) (1827,3852) (1828,3852) (1828,3851) > 
21.28armB  <  (1827,4151) (1827,4152) (1828,4152) (1828,4151) > 
21.30armB  <  (1827,4451) (1827,4452) (1828,4452) (1828,4451) > 
21.32armB  <  (1827,4751) (1827,4752) (1828,4752) (1828,4751) > 
21.34armB  <  (1827,5051) (1827,5052) (1828,5052) (1828,5051) > 
22.01armB  <  (1914,101) (1914,102) (1915,102) (1915,101) > 
22.03armB  <  (1914,401) (1914,402) (1915,402) (1915,401) > 
22.05armB  <  (1914,701) (1914,702) (1915,702) (1915,701) > 
22.07armB  <  (1914,1001) (1914,1002) (1915,1002) (1915,1001) > 
22.09armB  <  (1914,1301) (1914,1302) (1915,1302) (1915,1301) > 
22.11armB  <  (1914,1601) (1914,1602) (1915,1602) (1915,1601) > 
22.13armB  <  (1914,1901) (1914,1902) (1915,1902) (1915,1901) > 
22.15armB  <  (1914,2201) (1914,2202) (1915,2202) (1915,2201) > 
22.17armB  <  (1914,2501) (1914,2502) (1915,2502) (1915,2501) > 
22.19armB  <  (1914,2801) (1914,2802) (1915,2802) (1915,2801) > 
22.21armB  <  (1914,3101) (1914,3102) (1915,3102) (1915,3101) > 
22.23armB  <  (1914,3401) (1914,3402) (1915,3402) (1915,3401) > 
22.25armB  <  (1914,3701) (1914,3702) (1915,3702) (1915,3701) > 
22.27armB  <  (1914,4001) (1914,4002) (1915,4002) (1915,4001) > 
22.29armB  <  (1914,4301) (1914,4302) (1915,4302) (1915,4301) > 
22.31armB  <  (1914,4601) (1914,4602) (1915,4602) (1915,4601) > 
22.33armB  <  (1914,4901) (1914,4902) (1915,4902) (1915,4901) > 
23.02armB  <  (2001,251) (2001,252) (2002,252) (2002,251) > 
23.04armB  <  (2001,551) (2001,552) (2002,552) (2002,551) > 
23.06armB  <  (2001,851) (2001,852) (2002,852) (2002,851) > 
23.08armB  <  (2001,1151) (2001,1152) (2002,1152) (2002,1151) > 
23.10armB  <  (2001,1451) (2001,1452) (2002,1452) (2002,1451) > 
23.12armB  <  (2001,1751) (2001,1752) (2002,1752) (2002,1751) > 
23.14armB  <  (2001,2051) (2001,2052) (2002,2052) (2002,2051) > 
23.16armB  <  (2001,2351) (2001,2352) (2002,2352) (2002,2351) > 
23.18armB  <  (2001,2651) (2001,2652) (2002,2652) (2002,2651) > 
23.20armB  <  (2001,2951) (2001,2952) (2002,2952) (2002,2951) > 
23.22armB  <  (2001,3251) (2001,3252) (2002,3252) (2002,3251) > 
23.24armB  <  (2001,3551) (2001,3552) (2002,3552) (2002,3551) > 
23.26armB  <  (2001,3851) (2001,3852) (2002,3852) (2002,3851) > 
23.28armB  <  (2001,4151) (2001,4152) (2002,4152) (2002,4151) > 
23.30armB  <  (2001,4451) (2001,4452) (2002,4452) (2002,4451) > 
23.32armB  <  (2001,4751) (2001,4752) (2002,4752) (2002,4751) > 
23.34armB  <  (2001,5051) (2001,5052) (2002,5052) (2002,5051) > 
24.01armB  <  (2088,101) (2088,102) (2089,102) (2089,101) > 
24.03armB  <  (2088,401) (2088,402) (2089,402) (2089,401) > 
24.05armB  <  (2088,701) (2088,702) (2089,702) (2089,701) > 
24.07armB  <  (2088,1001) (2088,1002) (2089,1002) (2089,1001) > 
24.09armB  <  (2088,1301) (2088,1302) (2089,1302) (2089,1301) > 
24.11armB  <  (2088,1601) (2088,1602) (2089,1602) (2089,1601) > 
24.13armB  <  (2088,1901) (2088,1902) (2089,1902) (2089,1901) > 
24.15armB  <  (2088,2201) (2088,2202) (2089,2202) (2089,2201) > 
24.17armB  <  (2088,2501) (2088,2502) (2089,2502) (2089,2501) > 
24.19armB  <  (2088,2801) (2088,2802) (2089,2802) (2089,2801) > 
24.21armB  <  (2088,3101) (2088,3102) (2089,3102) (2089,3101) > 
24.23armB  <  (2088,3401) (2088,3402) (2089,3402) (2089,3401) > 
24.25armB  <  (2088,3701) (2088,3702) (2089,3702) (2089,3701) > 
24.27armB  <  (2088,4001) (2088,4002) (2089,4002) (2089,4001) > 
24.29armB  <  (2088,4301) (2088,4302) (2089,4302) (2089,4301) > 
24.31armB  <  (2088,4601) (2088,4602) (2089,4602) (2089,4601) > 
24.33armB  <  (2088,4901) (2088,4902) (2089,4902) (2089,4901) > 
25.02armB  <  (2175,251) (2175,252) (2176,252) (2176,251) > 
25.04armB  <  (2175,551) (2175,552) (2176,552) (2176,551) > 
25.06armB  <  (2175,851) (2175,852) (2176,852) (2176,851) > 
25.08armB  <  (2175,1151) (2175,1152) (2176,1152) (2176,1151) > 
25.10armB  <  (2175,1451) (2175,1452) (2176,1452) (2176,1451) > 
25.12armB  <  (2175,1751) (2175,1752) (2176,1752) (2176,1751) > 
25.14armB  <  (2175,2051) (2175,2052) (2176,2052) (2176,2051) > 
25.16armB  <  (2175,2351) (2175,2352) (2176,2352) (2176,2351) > 
25.18armB  <  (2175,2651) (2175,2652) (2176,2652) (2176,2651) > 
25.20armB  <  (2175,2951) (2175,2952) (2176,2952) (2176,2951) > 
25.22armB  <  (2175,3251) (2175,3252) (2176,3252) (2176,3251) > 
25.24armB  <  (2175,3551) (2175,3552) (2176,3552) (2176,3551) > 
25.26armB  <  (2175,3851) (2175,3852) (2176,3852) (2176,3851) > 
25.28armB  <  (2175,4151) (2175,4152) (2176,4152) (2176,4151) > 
25.30armB  <  (2175,4451) (2175,4452) (2176,4452) (2176,4451) > 
25.32armB  <  (2175,4751) (2175,4752) (2176,4752) (2176,4751) > 
25.34armB  <  (2175,5051) (2175,5052) (2176,5052) (2176,5051) > 
26.01armB  <  (2262,101) (2262,102) (2263,102) (2263,101) > 
26.03armB  <  (2262,401) (2262,402) (2263,402) (2263,401) > 
26.05armB  <  (2262,701) (2262,702) (2263,702) (2263,701) > 
26.07armB  <  (2262,1001) (2262,1002) (2263,1002) (2263,1001) > 
26.09armB  <  (2262,1301) (2262,1302) (2263,1302) (2263,1301) > 
26.11armB  <  (2262,1601) (2262,1602) (2263,1602) (2263,1601) > 
26.13armB  <  (2262,1901) (2262,1902) (2263,1902) (2263,1901) > 
26.15armB  <  (2262,2201) (2262,2202) (2263,2202) (2263,2201) > 
26.17armB  <  (2262,2501) (2262,2502) (2263,2502) (2263,2501) > 
26.19armB  <  (2262,2801) (2262,2802) (2263,2802) (2263,2801) > 
26.21armB  <  (2262,3101) (2262,3102) (2263,3102) (2263,3101) > 
